2019-03-28T10:55:35Z	15138	zhayujie	26161723	提议在五月一日发起罢工游街活动，并将所有996公司名单写入公链。	可以从北京中关村， 软件园等地开始，有支持的人吗？
2019-03-28T10:55:30Z	15137	Rocketer2018	45086517	广告请滚，这是我们斗争的地方。如果让记者，或者高层看到这里，全都是打广告的，我们的生涯就完了。发广告也要有素质。生活都不易，请不要在这里发，谢谢。	广告请滚，这是我们斗争的地方。如果让记者，或者高层看到这里，全都是打广告的，我们的生涯就完了。发广告也要有素质。生活都不易，请不要在这里发，谢谢。
2019-03-28T10:55:27Z	15136	xiongchun	4091000	MyClouds一站式微服务治理方案及快速开发平台，了解一下：https://gitee.com/osworks/MyClouds	MyClouds一站式微服务治理方案及快速开发平台，了解一下：https://gitee.com/osworks/MyClouds
2019-03-28T10:55:05Z	15135	Rocketer2018	45086517	广告请滚，这是我们斗争的地方。	广告请滚，这是我们斗争的地方。如果让记者，或者高层看到这里，全都是打广告的，我们的生涯就完了。发广告也要有素质。生活都不易，请不要在这里发，谢谢。
2019-03-28T10:54:57Z	15134	creastall	20340003	今天继续加班	
2019-03-28T10:54:50Z	15133	chenGit1763113879QQ	20452996	热度++	
2019-03-28T10:54:33Z	15132	hby07	43920747	习惯了才是最可怕的	为什么996会这么普遍？因为最开始的卑躬屈膝，因为最开始的敢怒不敢言，这让管理层觉得压榨就对了。而跪的时间久了再站起来就难了！\n更别说来自车、房、孩的压力了。\n当付出与收入偏差过大时，必然会引发变革。\n此刻，是沉默还是反抗？
2019-03-28T10:54:28Z	15131	y-sl	37112260	中国最菜程序员-阳吉！！！	
2019-03-28T10:54:28Z	15130	microhz	12661579	大家不站出来抵制996等着大家的就是007	不被当人看，拿命换钱
2019-03-28T10:54:13Z	15129	QXSimon	47711772	敢做996.icu程序员，为中国互联网之崛起，奉献青春，乃至生命。	挂掉了，小孩怎么办喽？小媳妇咋活呢？老人日子得多苦！
2019-03-28T10:54:12Z	15128	Hinsverson	14052387	996ICU前端-夸夸群👏👏🎉㊙️💋🈲💋💋	![WechatIMG6](https://user-images.githubusercontent.com/14052387/55152218-dad15780-518a-11e9-8027-e9c366b532d3.jpeg)\n
2019-03-28T10:54:10Z	15127	x-seeing	5744580	拿着年薪百万的工资，却要和员工谈情怀，太傻逼了吧	拿着年薪百万的工资，却要和员工谈情怀，太傻逼了吧
2019-03-28T10:54:03Z	15126	SHH1064994894	18500139	植发/防脱发/发际线矫正 请联系我。	植发/防脱发/发际线矫正 请联系我。
2019-03-28T10:53:59Z	15125	dandanbu3	20942649	repeat content in zh_tw	\n![WechatIMG115](https://user-images.githubusercontent.com/20942649/55152198-d016c280-518a-11e9-92f4-fb545a767b68.jpeg)\n\n
2019-03-28T10:53:38Z	15124	EiqLi	42762787	我隋老板搞一波，抵制996	
2019-03-28T10:53:28Z	15123	zzlover	5300691	star一下尽绵薄之力..	
2019-03-28T10:53:17Z	15122	jiangyuwoaini	46109921	有没有老哥公司缺人的，北京，两年经验，肯努力，没有老哥缺人的	
2019-03-28T10:53:17Z	15121	chenGit1763113879QQ	20452996	为史上第一大陆项目添砖加瓦！	
